"","DF","AIC","BIC","Chisq","Chisq_diff","DF_diff","p"
"configural MI",48,85151.4016803506,85653.4117791303,525.279432800349,NA,NA,NA
"weak MI",65,85138.7153828575,85536.650217256,546.59313530721,21.3137025068613,17,0.212571757683798
"strong MI",72,85184.6325110018,85539.7128247728,606.510263451491,59.9171281442813,7,1.56817494761999e-10
"strict MI",82,85170.7733122479,85464.6328822653,612.651064697634,6.14080124614304,10,0.803298206898395
