"","DF","AIC","BIC","Chisq","Chisq_diff","DF_diff","p"
"configural MI",40,84835.3875322403,85386.3742260229,237.5930370386,NA,NA,NA
"weak MI",58,84851.5540562988,85292.3434113248,289.759561097081,52.1665240584803,18,3.52742579897574e-05
"strong MI",64,84870.8132765404,85274.8701853143,321.018781338716,31.2592202416355,6,2.2617693394347e-05
"strict MI",74,84884.4393700312,85227.2755350514,354.644874829496,33.6260934907797,10,0.000213650834387271
