"","npar","aic","bic","cfi","tli","srmr","rmsea"
"Bifactor (original)",31,85162.4898717465,85352.2741773827,0.973189271351499,0.949729883784061,0.0282425469764393,0.0734595411611353
"Bifactor (Alternative 1)",31,85176.1051458006,85365.8894514368,0.972352406635684,0.948160762441907,0.030990697442441,0.0745972073608202
"Bifactor (Alternative 2)",33,85161.9510086079,85363.9794629948,0.973345322927879,0.945479069625208,0.028758864792075,0.0765023711102623
"Bifactor (Automatized)",35,84916.4730735363,85130.7456766739,0.988556588671134,0.974252324510052,0.0188925237066974,0.0525729419030571
