"","model","Df","AIC","BIC"
"1","hierarchical",33,85566.4024543742,85701.0880906322
"2","bifactor",24,85162.4898717465,85352.2741773827
"3","correlated traits",34,85564.4024543728,85692.9660162555
"4","unidimensional",35,86543.5260673408,86665.967554848
